campo,tipo_sugerido,obligatoriedad_mvp,cobertura_actual_pct,descripcion,regla_calculo,fuente_preferente
source,text,deseable,100%,Nombre de fuente de origen.,,Portales inmobiliarios + base Viva
captured_at,timestamp/date,deseable,100%,Fecha y hora de captura.,,Portales inmobiliarios + base Viva
source_url,text,critico,100%,URL trazable del dato.,,Portales inmobiliarios + base Viva
source_type,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
extraction_method,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
project_id,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
project_slug,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
agency_name,text,critico,100%,Nombre publicado de inmobiliaria/desarrollador.,,Portales inmobiliarios + base Viva
project_name,text,critico,100%,Nombre publicado del proyecto.,,Portales inmobiliarios + base Viva
district,text,critico,100%,Distrito normalizado.,,Portales inmobiliarios + base Viva
province,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
department,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
address,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
latitude,decimal,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
longitude,decimal,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
sales_start_year,integer,deseable,0%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
delivery_year,integer,critico,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
delivery_date,timestamp/date,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
update_date,timestamp/date,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
project_phase,text,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
floor_count,integer,deseable,19%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
parking_count,integer,deseable,3%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
view,text,deseable,0%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
typology,text,critico,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
bedrooms,integer,critico,99%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
bedrooms_min,integer,deseable,99%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
bedrooms_max,integer,deseable,99%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
bathrooms_min,integer,deseable,99%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
bathrooms_max,integer,deseable,99%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
built_area,decimal,deseable,0%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
free_area,decimal,deseable,0%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
total_area_min,decimal,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
total_area_max,decimal,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
area_min,decimal,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
area_max,decimal,deseable,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
total_area,decimal,critico,100%,Campo canonico de evaluacion Viva.,,Portales inmobiliarios + base Viva
