run_id,agency_name,domain,web_project_url,web_project_name,nexo_project_id,nexo_project_name,match_score,match_class,matched_on_agency,matched_on_project_name,matched_on_district,matched_on_address,matched_on_coordinates,matched_on_slug,justification,requires_human_review,reviewed_status,reviewed_by,reviewed_at
webs_propias_phase6_2026-06-14T20-43-40-390Z,CONSTRUCTORA MALLORCA,constructoramallorca.com,https://www.constructoramallorca.com/proyecto-madecani,Proyecto Madecani,,Piura,29.9,unmatched_web,true,false,false,false,false,false,Sin score suficiente contra mejor candidato Nexo: Piura; score=29.9 | agency=1 | project=0.12 | district=0.28 | address=0.08 | coords=0 | slug=0.12,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,CONSTRUCTORA MALLORCA,constructoramallorca.com,https://www.constructoramallorca.com/proyecto-chacaltana,Proyecto Miraflores,,Piura,46.04,unmatched_web,true,false,false,true,false,false,Sin score suficiente contra mejor candidato Nexo: Piura; score=46.04 | agency=1 | project=0.18 | district=0.28 | address=1 | coords=0 | slug=0.09,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,PIONERO INMOBILIARIA,pionero.pe,http://www.pionero.pe/proyecto/guardia-civil-sur-314,Guardia Civil Sur 314,4116,Guardia Civil Sur 314,78.81,match_medium,true,true,true,false,false,true,score=78.81 | agency=1 | project=1 | district=1 | address=0.25 | coords=0 | slug=1,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,PIONERO INMOBILIARIA,pionero.pe,http://www.pionero.pe/proyecto/reducto-1421,Reducto 1421,2795,Reducto 1421,77.76,match_medium,true,true,false,true,false,true,score=77.76 | agency=1 | project=1 | district=0.18 | address=1 | coords=0 | slug=1,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,EDIFICA,edifica.com.pe,https://edifica.com.pe/soul-departamento-miraflores,Soul,,The Muse,43.7,unmatched_web,true,false,true,false,false,false,Sin score suficiente contra mejor candidato Nexo: The Muse; score=43.7 | agency=1 | project=0.12 | district=1 | address=0.25 | coords=0 | slug=0.18,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,EDIFICA,edifica.com.pe,https://edifica.com.pe/artinto-departamento-barranco,Artinto,,Affinity,41.94,unmatched_web,true,false,false,false,false,false,Sin score suficiente contra mejor candidato Nexo: Affinity; score=41.94 | agency=1 | project=0.46 | district=0.18 | address=0.11 | coords=0 | slug=0.28,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,INVENT INMOBILIARIA,invent.com.pe,https://invent.com.pe/departamentos-en-venta-magdalena/aliaga-435,ALIAGA 435 – Departamentos en Magdalena desde S/ 357 900,2056,Invent Juan de Aliaga,52.41,match_low,true,false,true,false,false,false,score=52.41 | agency=1 | project=0.33 | district=1 | address=0.22 | coords=0 | slug=0.5,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,INVENT INMOBILIARIA,invent.com.pe,https://invent.com.pe/departamentos-en-venta-barranco/patria,PATRIA – Departamentos en Barranco desde S/ 313 000,2430,PATRIA,78.07,match_medium,true,true,true,false,false,true,score=78.07 | agency=1 | project=1 | district=1 | address=0.2 | coords=0 | slug=1,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,Cresiente,esparq.com,https://eomgrupo.com/proyectos-filtro.php?codigod=001,EOM GRUPO,,BLUE,25.1,unmatched_web,true,false,false,false,false,false,Sin score suficiente contra mejor candidato Nexo: BLUE; score=25.1 | agency=1 | project=0 | district=0.18 | address=0.13 | coords=0 | slug=0.09,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,Cresiente,esparq.com,https://eomgrupo.com/proyectos-filtro.php?codigod=002,EOM GRUPO,,BLUE,25.59,unmatched_web,true,false,false,false,false,false,Sin score suficiente contra mejor candidato Nexo: BLUE; score=25.59 | agency=1 | project=0 | district=0.09 | address=0.25 | coords=0 | slug=0.09,true,,,
webs_propias_phase6_2026-06-14T20-43-40-390Z,PADOVA,padovasac.com,https://padovasac.com/proyectos/heliocercado,Helio,3186,HELIO SANTA BEATRIZ,70.6,match_medium,true,true,false,false,false,true,score=70.6 | agency=1 | project=1 | district=0.31 | address=0.4 | coords=0 | slug=1,true,,,
