source,captured_at,source_url,source_type,extraction_method,project_id,project_slug,agency_name,project_name,district,province,department,address,latitude,longitude,sales_start_year,delivery_year,delivery_date,update_date,project_phase,floor_count,parking_count,view,typology,bedrooms,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,built_area,free_area,total_area_min,total_area_max,area_min,area_max,total_area,unit_status,unit_count,price_min,currency,list_price_avg,sale_price_avg,price_per_m2_list,price_per_m2_sale,sale_year,sale_month,sale_date,income,total_m2,financing_banks,amenities,project_description,project_contact,project_email,project_phone,project_whatsapp,builder_slug,builder_description,price_history_count,latest_price_history_date,latest_price_history_from,latest_price_history_status,visit_count,field_confidence,missing_required_fields
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/magdalena-del-mar/vista-brasil-magdalena-1415,portal,sitemap + obj_project_completo + json_ld + html_table,1415,1415-vista-brasil-magdalena,GRUPO MG,VISTA BRASIL - MAGDALENA,Magdalena Del Mar,Lima,Lima,Av. Brasil 3784 ,-12.0937624409906,-77.06951558507207,,2025,2025-12-31,2026-05-07,Entrega inmediata,23,90,,Departamento,3 a 3,3,3,2,2,,,80,80,80,80,80,Entrega inmediata,135,493000,PEN,493000,,6162.5,,,,,66555000,10800,Banco BANBIF | Banco BCP | Banco BBVA | Banco PICHINCHA | Banco GNB | Banco INTERBANK | Banco SCOTIABANK,Área de juegos para niños | Gimnasio | Lobby | Sala de Niños | Sala de usos Múltiples | Terraza | Zona de Parrillas | Otros,"Exclusivo Edificio ubicado en la Av. Brasil 3784 y Jr. Grau 110 cerca del Circuito de Playas. Moderna arquitectura, buenos acabados, magnífica distribución, excelente iluminación y ventilación natural. Estructura antisísmica, 23 pisos con 4 sótanos de estacionamientos y 4 ascensores, 135 departamentos distribuidos en 2 torres, 7 departamentos por piso. El edificio cuenta con 90 estacionamientos. Inmejorable ubicación en zona céntrica de la ciudad, muy cerca a centros comerciales, colegios, universidades, iglesias y avenidas principales garantizando la mejor conectividad.",Grupo MG,msanchez@grupomg.pe,949700760,949700760,grupo-mg,"Somos una inmobiliaria constructora 100% peruana con más de 21 años de experiencia. Especializados en proyectos inmobiliarios, edificaciones y construcción civil. Hemos entregado 30 proyectos, consolidando nuestra reputación y respaldo en el rubro.",2,2026-04-11 07:00:03,493000,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/san-miguel/allegro-loft-1418,portal,sitemap + obj_project_completo + json_ld + html_table,1418,1418-allegro-loft,URBANA PERÚ,ALLEGRO LOFT,San Miguel,Lima,Lima,Av. Costanera 980,-12.08720799825548,-77.09274686069341,,2023,2023-07-30,2026-05-16,Entrega inmediata,,,,Departamento,1 a 1,1,1,2,2,,,59.6,62.49,59.6,62.49,59.6,Entrega inmediata,1,382323,PEN,382323,,6414.82,,,,,382323,59.6,Banco INTERBANK,Gimnasio | Jardin interior | Lobby | Piscina | Sala de usos Múltiples | Zona de Parrillas,Una nueva forma de vivir,Call Center,"yehacvpj@mailparser.io,qugiiwfl@mailparser.io",7191709,955925518,urbana-peru,"Somos la marca internacional de la Constructora Colpatria, realizando proyectos inmobiliarios propios y a terceros desde el año 2006, buscando brindar siempre soluciones de edificación para los diferentes segmentos en Lima Metropolitana.",2,2026-05-17 07:00:03,382323,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/oficinas/santiago-de-surco/iq-surco-oficinas-1488,portal,sitemap + obj_project_completo + json_ld + html_table,1488,1488-iq-surco-oficinas,GRUPO T&C,IQ SURCO OFICINAS,Santiago De Surco,Lima,Lima,Av Encalada cuadra 13 cruce con Aldebarán,-12.103531461671661,-76.9703455934033,,2026,2026-03-31,2026-05-22,En construccion,18,,,Oficina,,,,,,,,35.2,46.51,35.2,46.51,35.2,En construccion,1,331465.66,PEN,331465.66,,9416.64,,,,,331465.66,35.2,Financiamiento propio,Cafetería | Directorio | Lobby | Salas de Reuniones,"Moderno proyecto de oficinas de 18 pisos, con áreas comunes en el primer y ultimo nivel. Contamos con certificación Edge",Lyanne Fernandez ,"Iq_encalada@evolta.pe,lfernandez@grupotyc.com",924838899,924838899,grupo-t-c,"A través de estos años, hemos logrado consolidarnos como una de las empresas líderes en el mercado inmobiliario del país. ¡La calidad de nuestros proyectos está por encima de todo!, preocupándonos por cada detalle desde el inicio. Somos un gran equipo profesional y técnico comprometido con el resultado de nuestro trabajo gracias a modernas herramientas de ingeniería...",4,2026-05-07 07:00:01,331465.66,En construccion,,alta,bedrooms
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/barranco/aspiria-1631,portal,sitemap + obj_project_completo + json_ld + html_table,1631,1631-aspiria,GRUPO T&C,ASPIRIA,Barranco,Lima,Lima,"Av. El Sol Este 530, Barraco",-12.139487578321152,-77.01943345939085,,2026,2026-08-01,2026-05-22,En construccion,,,,Departamento,1 a 3,1,3,1,2,,,32.73,82.96,32.73,82.96,32.73,En construccion,1,293022.94,PEN,293022.94,,8952.73,,,,,293022.94,32.73,Financiamiento propio,Área de juegos para niños | Areas verdes | Gimnasio | Jardin interior | Lobby | Piscina | Sala Bar | Sala de Internet | Sala de usos Múltiples | Salon Gourmet | Techo Panorámico | Terraza | Video vigilancia | Zona de Parrillas | Otros,Áreas comunes con aire bohemio y 100% funcionales. Diseñamos ambientes inspirados y súper funcionales para que pases un rato diferente entre amigos.,Rosario Sosa,equipocomercialtyc@gmail.com,934254429,934254429,grupo-t-c,"A través de estos años, hemos logrado consolidarnos como una de las empresas líderes en el mercado inmobiliario del país. ¡La calidad de nuestros proyectos está por encima de todo!, preocupándonos por cada detalle desde el inicio. Somos un gran equipo profesional y técnico comprometido con el resultado de nuestro trabajo gracias a modernas herramientas de ingeniería...",4,2026-03-05 07:00:02,293022.94,En construccion,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/pueblo-libre/liri-pueblo-libre-1646,portal,sitemap + obj_project_completo + json_ld + html_table,1646,1646-liri-pueblo-libre,GRUPO MG,LIRI - PUEBLO LIBRE,Pueblo Libre,Lima,Lima,Av Antonio José de Sucre 1301,-12.0842128,-77.0675432,,2022,2022-10-31,2026-05-04,Entrega inmediata,17,50,,Departamento,2 a 2,2,2,2,2,,,109,109,109,109,109,Entrega inmediata,77,643400,PEN,643400,,5902.75,,,,,49541800,8393,Banco BANBIF | Banco BCP | Banco BBVA | Banco PICHINCHA | Banco GNB | Banco INTERBANK | Banco SCOTIABANK,Lobby | Sala de usos Múltiples | Terraza | Video vigilancia | Zona de Parrillas | Otros,"Exclusivo Edificio ubicado a una cuadra de la Av. La Marina, límite con Magdalena. 77 departamentos, 61 flats y 12 dúplex, distribuidos en 5 dptos. por piso, 17 pisos con 3 sótanos y 2 ascensores. El edificio cuenta con 50 estacionamientos. Moderna arquitectura, estructura antisísmica, buenos acabados, magnífica distribución, excelente iluminación y ventilación natural. Exclusivo proyecto al mejor precio de Pueblo Libre. Entrega inmediata.",Grupo MG,msanchez@grupomg.pe,949700760,949700760,grupo-mg,"Somos una inmobiliaria constructora 100% peruana con más de 21 años de experiencia. Especializados en proyectos inmobiliarios, edificaciones y construcción civil. Hemos entregado 30 proyectos, consolidando nuestra reputación y respaldo en el rubro.",2,2026-03-07 07:00:02,643400,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/magdalena-del-mar/aliaga-garden-1654,portal,sitemap + obj_project_completo + json_ld + html_table,1654,1654-aliaga-garden,EVERGRAN GRUPO INMOBILIARIO,ALIAGA GARDEN,Magdalena Del Mar,Lima,Lima,Torres Matos 141,-12.0948486,-77.0589031,,2024,2024-01-01,2026-04-09,Entrega inmediata,,,,Departamento,3 a 3,3,3,2,3,,,83.26,103.21,83.26,103.21,83.26,Entrega inmediata,1,677000,PEN,677000,,8131.16,,,,,677000,83.26,Banco BBVA,Área de juegos para niños | Areas verdes | Boulevard peatonal | Club House | Cuarto servicio | Gimnasio | Jardin de niños | Jardin interior | Lobby | Parque privado | Piscina | Sala Bar | Sala de Internet | Sala de Niños | Sala de usos Múltiples | Salon Gourmet | Terraza | Video vigilancia | Zona de Parrillas | Otros,"¡Múdate hoy, Depas de Estreno! Vive a unos pasos de San Isidro, en el lado encantador de Magdalena. Disfruta de 1000 m² de áreas verdes y 20 áreas comunes. Vive en la zona más prestigiosa de Magdalena: Av. Juan de Aliaga 456. Disfruta de todas sus áreas comunes sin salir de casa.",Dario Molina,"aliaga@evergran.pe,mhervias@evergran.pe","934650729,994174624",934650729,evergran-grupo-inmobiliario,"Somos un equipo de personas que diseñan calidad de vida haciéndola más fácil, más sencilla. Construimos formatos para vivir desde el disfrute, la comodidad y la familia. Cada una de las unidades inmobiliarias que desarrollamos las hacemos pensando en la funcionalidad de la vida diaria de los clientes.",2,2026-05-13 07:00:03,677000,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/santiago-de-surco/muv-1689,portal,sitemap + obj_project_completo + json_ld + html_table,1689,1689-muv,ARQUIMIA,MUV,Santiago De Surco,Lima,Lima,"Av. Nicolas Rodrigo 250, Monterrico",-12.101978647090485,-76.96451699244943,,2024,2024-04-30,2017-07-09,Entrega inmediata,,,,Departamento,1 a 3,1,3,1,4,,,47.78,115.1,47.78,115.1,47.78,Entrega inmediata,1,508703,PEN,508703,,10646.78,,,,,508703,47.78,Banco BBVA,Área de juegos para niños | Areas verdes | Ascensor directo | Boulevard peatonal | Cancha de Squash | Cancha de Tenis | Club House | Cuarto servicio | Gimnasio | Jardin de niños | Jardin interior | Lobby | Parque privado | Piscina | Sala Bar | Sala de cine | Sala de Niños | Sala de usos Múltiples | Sauna | Terraza | Video vigilancia | Zona de Parrillas | Otros,"Departamentos de 1, 2 y 3 dormitorios ubicados en zona privilegiada. Conoce MUV, el proyecto que brinda no sólo espacios para vivir, si no un destino lleno de bienestar y balance; además de ser miembro de un exclusivo Club.",Informes Arquimia,info@muv.pe,950348113,950348113,arquimia,"Empresa dedicada al desarrollo, gestión y comercialización de proyectos inmobiliarios. Generamos valor a nuestros clientes con innovación, calidad y eficiencia. Iniciamos operación a inicios del 2017 y a la fecha contamos con 4 proyectos en el portafolio, diversificados en Vivienda, Oficinas y Retail; en Lima y Arequipa.",2,2025-12-06 07:00:02,508703,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/lince/centric-dos-de-mayo-lince-1810,portal,sitemap + obj_project_completo + json_ld + html_table,1810,1810-centric-dos-de-mayo-lince,INITALIA,CENTRIC Dos de Mayo- Lince,Lince,Lima,Lima,Arenales 2570,-12.090064996564706,-77.03493570273388,,2024,2024-07-31,2026-04-18,Entrega inmediata,,,,Departamento,2 a 2,2,2,1,1,,,51.71,53.69,51.71,53.69,51.71,Entrega inmediata,1,429800,PEN,429800,,8311.74,,,,,429800,51.71,Banco SCOTIABANK | otros,Areas verdes | Lobby | Piscina | Sala de usos Múltiples | Salon Gourmet | Techo Panorámico | Techos Ecológicos | Terraza | Video vigilancia | Zona de Lavandería | Zona de Parrillas,"Vive en CENTRIC DOS DE MAYO A UN PASO DE SAN ISIDRO, Dpto. 1, 2 y 3 dormitorios desde 39 m2, pensados para quienes les gusta de disfrutar de la comodidad y de disfrutar de las grandes ventajas de una excelente ubicación",Roberto Dávila,"ventas@initalia.pe,rdavila@initalia.pe,cclavo@initalia.pe","987935513,932113513",987935513,initalia,"Inmobiliaria Italia S.A. con más de 7 años de presencia en el mercado local, nace de la asociación del arquitecto peruano Jorge Marsino, socio fundador de la oficina Marsino Arquitectos y de Inmobiliaria Focus S.A. desarrollador inmobiliario con más de 20 años de experiencia en el desarrollo y venta de proyectos en el mercado Chileno. Ambos cuentan con una amplia experiencia en sus respectivas especialidades, habiendo diseñado y construido innumerables proyectos. Nuestra misión es entregar a nuestros clientes la mas alta calidad a través de un diseño contemporáneo y funcional en base a sus necesidades, usos y preferencias.",2,2026-05-08 07:00:02,429800,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/cercado-de-lima/los-pinos-iii-santa-beatriz-1866,portal,sitemap + obj_project_completo + json_ld + html_table,1866,1866-los-pinos-iii-santa-beatriz,GRUPO MG,LOS PINOS III -SANTA BEATRIZ,Cercado de lima,Lima,Lima,Jr. Manuel del Pino 638,-12.077943556370897,-77.03146867438117,,2025,2025-12-31,2026-05-04,Entrega inmediata,15,,,Departamento,2 a 2,2,2,2,2,,,81.9,81.9,81.9,81.9,81.9,Entrega inmediata,90,488000,PEN,488000,,5958.49,,,,,43920000,7371,Banco BANBIF | Banco BCP | Banco BBVA | Banco INTERBANK | Banco SCOTIABANK,Ascensor directo | Lobby | Sala de usos Múltiples | Video vigilancia | Otros,"¡ÚLTIMOS DEPAS! Exclusivo edificio de tan solo 15 pisos, 2 ascensores y 90 departamentos en total. Moderna arquitectura, estructura sismo resistente, muy buenos acabados, excelente distribución. Proyecto estratégicamente ubicado a pocas cuadras de Vía Expresa.",Grupo MG,"msanchez@grupomg.pe,lcuellar@grupomg.pe",949700760,949700760,grupo-mg,"Somos una inmobiliaria constructora 100% peruana con más de 21 años de experiencia. Especializados en proyectos inmobiliarios, edificaciones y construcción civil. Hemos entregado 30 proyectos, consolidando nuestra reputación y respaldo en el rubro.",2,2025-11-25 07:00:02,442940,Entrega inmediata,,alta,
Nexo Inmobiliario,2026-05-24T18:37:51.632Z,https://nexoinmobiliario.pe/departamentos/magdalena-del-mar/nius-1914,portal,sitemap + obj_project_completo + json_ld + html_table,1914,1914-nius,GRUPO T&C,NIUS,Magdalena Del Mar,Lima,Lima,"Av. Javier Prado Oeste 140, Magdalena del Mar",-12.0903598,-77.0657035,,2025,2025-10-16,2026-05-08,Entrega inmediata,,,,Departamento,2 a 3,2,3,2,4,,,54.86,126.81,54.86,126.81,54.86,Entrega inmediata,1,435144,PEN,435144,,7931.9,,,,,435144,54.86,Financiamiento propio,Gimnasio | Jardin interior | Lobby | Sala de Internet | Sala de Niños | Sala de usos Múltiples | Salon Gourmet | Terraza | Video vigilancia | Zona de Parrillas | Otros,"Grupo TyC llega a Magdalena del Mar con el proyecto NIUS, un nuevo concepto diseñado para ti y para los que te rodean, pensado en la innovación y armonía de estilos arquitectónicos, inspirado en las últimas tendencias.",Paula Ochoa,equipocomercialtyc@gmail.com,924090578,924090578,grupo-t-c,"A través de estos años, hemos logrado consolidarnos como una de las empresas líderes en el mercado inmobiliario del país. ¡La calidad de nuestros proyectos está por encima de todo!, preocupándonos por cada detalle desde el inicio. Somos un gran equipo profesional y técnico comprometido con el resultado de nuestro trabajo gracias a modernas herramientas de ingeniería...",2,2026-04-07 07:00:02,435144,Entrega inmediata,,alta,
